"id";"lon";"lat"
"9854313350";8.78477;53.10197
"9995375264";8.79435;53.10423
"10039894336";8.76874;53.09415
"10069481642";8.77642;53.09896
"10314225299";8.65398;53.06311
"10314271876";8.65602;53.05935
"10881235444";8.61766;53.16385
"11148795352";8.59322;53.04168
"11174817753";8.54551;53.03241
"11183232834";8.74945;53.02439
"11184514181";8.86387;53.1027
"11263235443";8.78957;53.06404
"11297774702";8.56895;53.2007
"11297774703";8.56723;53.19845
"11553352612";8.54398;53.02859
"11579639870";8.78302;53.06946
"11579639878";8.78099;53.06825
"11896135714";8.65312;53.03772
"11966510497";8.80916;53.07231
"11975812313";8.7995;53.07301
"11985346407";8.81878;53.0746
"11985580512";8.78474;53.07147
"11989189429";8.67981;53.05898
"11994839312";8.80011;53.07322
"12002747238";8.80802;53.07418
"12003209560";8.80211;53.0764
"12015310803";8.90879;53.14126
"12020131180";8.80812;53.07877
"12020331369";8.8043;53.07457
"12026890925";8.63124;53.02769
"12039258124";8.84613;53.09277
"12040420026";8.78658;53.06208
"12050801128";8.81635;53.08048
"12050823574";8.81896;53.07778
"12050842943";8.82295;53.07841
"12056923174";8.64314;53.05262
"12063090815";8.80045;53.08
"12063167581";8.80169;53.08004
"12076706045";8.81652;53.07833
"12078328236";8.83088;53.07054
"12078382162";8.82959;53.07284
"12089195207";8.87216;53.097
"12090418772";8.63514;53.06712
"12106120837";8.84465;53.03099
"12128030997";8.79401;53.07364
"12133183712";8.7399;53.18535
"12133625980";8.81987;53.0718
"12143827876";8.82088;53.08136
"12154423195";8.65554;53.01928
"12158011278";8.54275;53.03254
"12176429770";8.81973;53.08036
"12178155697";8.82361;53.0776
"12178175239";8.82352;53.07723
"12190306835";8.65814;53.04523
"12246813540";8.6135;53.04403
"12250619177";8.7978;53.07212
"12270787318";8.8239;53.07052
"12291772297";8.82288;53.07431
"12309427684";8.83368;53.07122
"12427921709";8.78831;53.06331
"12505551036";8.64252;53.04787
"12505551037";8.64499;53.05502
"12563524305";8.81422;53.08378
"12566201223";8.77443;53.06192
"12578989124";8.79372;53.07397
"12583053364";8.70978;53.22639
"12595188829";8.78945;53.07104
"12639691220";8.92818;53.16906
"12772178163";8.8124;53.07569
"12852899937";8.8657;53.10487
"12852918453";8.80794;53.09443
"12870812522";8.86506;53.10442
"12877146867";8.60534;53.0423
"13070721275";8.56682;53.19763
"13119045842";8.69072;53.16901
"13119045844";8.69158;53.16808
"13189356967";8.79552;53.0625
"13189382502";8.79828;53.057
"13189382503";8.79801;53.0637
"13189384408";8.79739;53.05906
"13235639013";8.67409;53.08875
"13236379059";8.79595;53.22853
"13261024515";8.80725;53.09976
"13264572270";8.80807;53.092
"13270659487";8.79781;53.22418
"13282838314";8.62417;53.05208
"13514087333";8.89004;53.06246
